n_iter,RandomPlayer,GreedyPlayer,AlphaZeroBaseline
100,0.5,0.0,0.5
200,0.5,0.0,0.5
300,0.3,0.0,0.5
400,0.4,0.0,0.5
500,0.2,0.0,0.4
600,0.4,0.0,0.4
700,0.6,0.0,0.6
800,0.3,0.0,0.5
900,0.5,0.0,0.5
1000,0.5,0.0,0.5
1100,0.5,0.0,0.5
1200,0.5,0.0,0.5
1300,0.5,0.0,0.4
1400,0.2,0.0,0.5
1500,0.4,0.0,0.5
1600,0.3,0.0,0.4
1700,0.5,0.0,0.5
1800,0.3,0.0,0.6
1900,0.4,0.0,0.4
2000,0.3,0.0,0.5
2100,0.5,0.0,0.4
2200,0.5,0.0,0.4
2300,0.5,0.0,0.5
2400,0.3,0.0,0.4
2500,0.5,0.0,0.5
2600,0.5,0.0,0.4
2700,0.6,0.0,0.5
2800,0.3,0.0,0.5
2900,0.3,0.0,0.4
3000,0.2,0.0,0.4
3100,0.4,0.0,0.5
3200,0.4,0.0,0.5
3300,0.6,0.0,0.5
3400,0.3,0.0,0.5
3500,0.4,0.0,0.5
3600,0.3,0.0,0.5
3700,0.3,0.0,0.4
3800,0.4,0.0,0.6
3900,0.5,0.0,0.3
4000,0.1,0.0,0.5
4100,0.4,0.0,0.5
4200,0.4,0.0,0.5
4300,0.4,0.0,0.5
4400,0.6,0.0,0.5
4500,0.2,0.0,0.6
4600,0.6,0.0,0.5
4700,0.5,0.0,0.5
4800,0.5,0.0,0.4
4900,0.4,0.0,0.4
5000,0.4,0.0,0.5
5100,0.4,0.0,0.5
5200,0.2,0.0,0.4
5300,0.5,0.0,0.4
5400,0.4,0.0,0.4
5500,0.6,0.0,0.5
5600,0.3,0.0,0.5
5700,0.4,0.0,0.5
5800,0.6,0.0,0.4
5900,0.5,0.0,0.5
6000,0.3,0.0,0.5
6100,0.3,0.0,0.5
6200,0.4,0.0,0.5
6300,0.5,0.0,0.5
6400,0.5,0.0,0.5
6500,0.4,0.0,0.4
6600,0.5,0.0,0.5
6700,0.3,0.0,0.5
6800,0.5,0.0,0.6
6900,0.5,0.0,0.5
7000,0.6,0.0,0.3
7100,0.7,0.0,0.4
7200,0.3,0.0,0.5
7300,0.5,0.0,0.3
7400,0.3,0.0,0.4
7500,0.6,0.0,0.5
7600,0.5,0.0,0.5
7700,0.5,0.0,0.5
7800,0.4,0.0,0.5
7900,0.1,0.0,0.5
8000,0.3,0.0,0.5
8100,0.2,0.0,0.5
8200,0.5,0.0,0.4
8300,0.2,0.0,0.5
8400,0.4,0.0,0.5
8500,0.5,0.0,0.4
8600,0.4,0.0,0.4
8700,0.2,0.0,0.5
8800,0.7,0.0,0.5
8900,0.2,0.0,0.4
9000,0.2,0.0,0.5
9100,0.5,0.0,0.3
9200,0.4,0.0,0.5
9300,0.5,0.0,0.5
9400,0.4,0.0,0.5
9500,0.4,0.0,0.5
9600,0.5,0.0,0.5
9700,0.4,0.1,0.5
9800,0.7,0.0,0.4
9900,0.3,0.0,0.4
10000,0.5,0.0,0.4
10100,0.2,0.0,0.5
10200,0.4,0.0,0.4
10300,0.5,0.0,0.4
10400,0.3,0.0,0.5
10500,0.4,0.0,0.4
10600,0.5,0.0,0.6
10700,0.7,0.0,0.4
10800,0.5,0.0,0.7
10900,0.5,0.0,0.5
11000,0.2,0.0,0.5
11100,0.3,0.0,0.5
11200,0.1,0.0,0.4
11300,0.7,0.0,0.5
11400,0.4,0.0,0.5
11500,0.5,0.0,0.5
11600,0.6,0.0,0.6
11700,0.2,0.0,0.4
11800,0.3,0.0,0.4
11900,0.6,0.0,0.5
12000,0.6,0.0,0.5
12100,0.5,0.0,0.4
12200,0.6,0.0,0.6
12300,0.5,0.0,0.4
12400,0.4,0.0,0.5
12500,0.4,0.0,0.5
12600,0.2,0.0,0.5
12700,0.5,0.0,0.4
12800,0.3,0.0,0.5
